zona,municipio_cod,x_centroide,y_centroide,municipio
466,8.0,335410.90267639904,7377967.114355231,Diadema
467,8.0,335212.1104651163,7376135.511627907,Diadema
468,38.0,319962.6801541426,7388019.23699422,Taboão da Serra
469,38.0,318567.3745454546,7386559.007272727,Taboão da Serra
470,38.0,317147.896875,7386070.25,Taboão da Serra
471,38.0,316387.3416666667,7384723.625,Taboão da Serra
472,9.0,316155.9401709402,7382949.158119658,Embu das Artes
473,9.0,315012.4468546638,7382529.433839479,Embu das Artes
474,9.0,312302.4025423729,7383795.209745763,Embu das Artes
475,9.0,309292.2586206897,7382839.387931035,Embu das Artes
476,16.0,313762.5897114178,7375741.728983689,Itapecerica da Serra
477,16.0,308463.35576923075,7371737.951923077,Itapecerica da Serra
478,16.0,307673.2101910828,7376261.146496816,Itapecerica da Serra
479,35.0,301671.7531914894,7359866.693617022,São Lourenço da Serra
480,10.0,315104.49258160236,7364422.931750742,Embu-Guaçu
481,10.0,317359.48295454547,7358547.7102272725,Embu-Guaçu
482,10.0,310678.95945945947,7354929.689189189,Embu-Guaçu
483,20.0,290091.2228116711,7351277.331564987,Juquitiba
486,2.0,308072.4566395664,7399911.589430895,Barueri
487,2.0,312701.8758389262,7400893.239932886,Barueri
488,2.0,311782.765037594,7399845.212406015,Barueri
489,2.0,309406.70588235295,7398150.117647059,Barueri
490,2.0,308595.4510309278,7395106.30927835,Barueri
491,2.0,307300.0232558139,7395750.534883721,Barueri
492,2.0,306201.21707317076,7398454.956097561,Barueri
493,2.0,302525.40579710144,7399570.265700483,Barueri
494,6.0,311472.8887262079,7395940.3484626645,Carapicuíba
495,6.0,313190.5472440945,7396440.4291338585,Carapicuíba
496,6.0,312763.4176829268,7393460.957317073,Carapicuíba
497,6.0,313888.1656626506,7391884.373493976,Carapicuíba
498,6.0,310953.38314176246,7393505.168582375,Carapicuíba
499,24.0,318337.40076824586,7396491.393085787,Osasco
500,24.0,319671.0484429066,7395258.948096886,Osasco
501,24.0,319206.1604095563,7393694.464163822,Osasco
502,24.0,317658.3448275862,7395747.749042146,Osasco
503,24.0,315530.2441314554,7391147.403755869,Osasco
504,24.0,316850.342019544,7392239.973941368,Osasco
505,24.0,315975.127744511,7393619.415169661,Osasco
506,24.0,315418.87372013653,7395926.04778157,Osasco
507,24.0,316270.7092783505,7398203.224742268,Osasco
508,24.0,319273.3333333333,7397077.799410029,Osasco
509,24.0,316945.97867001256,7399766.936010038,Osasco
510,24.0,318590.3068783069,7399094.285714285,Osasco
511,24.0,320044.1932515337,7398758.984662577,Osasco
512,24.0,317773.71428571426,7401493.0,Osasco
513,19.0,304675.0967741936,7397179.037634409,Jandira
514,19.0,305648.2582278481,7395640.994936709,Jandira
