Tabela 15,,,
Empregos com Trabalho Externo ou Interno por Zona de Emprego - 2023,,,
Região Metropolitana de São Paulo,,,
Pesquisa Origem e Destino 2023,,,
Companhia do Metropolitano de São Paulo ,,,
,,,
Zona de,Empregos,,
 Emprego ,Trabalho Externo(*),Trabalho Interno, Total 
,,,
 488 ," 4,853 "," 82,569 "," 87,422 "
 489 , 627 ," 7,075 "," 7,702 "
 490 ," 1,665 "," 10,484 "," 12,148 "
 491 ," 3,112 "," 14,248 "," 17,360 "
 492 ," 1,643 "," 12,216 "," 13,859 "
 493 , -   ," 8,642 "," 8,642 "
 494 ," 5,951 "," 22,236 "," 28,188 "
 495 ," 4,200 "," 22,292 "," 26,493 "
 496 ," 4,609 "," 16,951 "," 21,559 "
 497 ," 1,588 "," 8,589 "," 10,177 "
 498 ," 1,345 "," 15,759 "," 17,104 "
 499 ," 3,295 "," 42,215 "," 45,510 "
 500 ," 2,713 "," 32,736 "," 35,449 "
 501 , 465 ," 16,769 "," 17,234 "
 502 ," 4,955 "," 32,807 "," 37,762 "
 503 , 538 ," 9,522 "," 10,061 "
 504 ," 1,145 "," 12,851 "," 13,996 "
 505 ," 2,328 "," 23,282 "," 25,610 "
 506 ," 2,809 "," 12,668 "," 15,477 "
 507 ," 1,690 "," 7,456 "," 9,145 "
 508 , 661 ," 13,845 "," 14,506 "
 509 ," 3,499 "," 26,550 "," 30,049 "
 510 ," 1,144 "," 13,449 "," 14,592 "
 511 ," 2,680 "," 14,642 "," 17,322 "
 512 ," 4,336 "," 14,030 "," 18,366 "
 513 ," 1,046 "," 12,729 "," 13,775 "
 514 ," 1,011 "," 24,379 "," 25,390 "
 515 , 246 ," 1,295 "," 1,542 "
 516 ," 4,571 "," 37,185 "," 41,756 "
 517 ," 1,374 "," 25,087 "," 26,461 "
 518 ," 5,256 "," 48,394 "," 53,651 "
 519 , 133 ," 2,070 "," 2,203 "
 520 , -   , 101 , 101 
 521 ," 2,387 "," 20,455 "," 22,842 "
 522 ," 2,275 "," 23,657 "," 25,931 "
 523 , 41 ," 1,002 "," 1,042 "
 524 ," 3,631 "," 20,861 "," 24,492 "
 525 ," 2,604 "," 33,629 "," 36,233 "
 526 ," 3,062 "," 61,296 "," 64,358 "
 527 , 359 ," 4,999 "," 5,359 "
,,,
 Total RMSP ," 999,684 "," 9,466,021 "," 10,465,706 "
,,,
 Fonte:  Metrô/SP - Pesquisa Origem e Destino 2023 ,,,
,,,
Notas:,,,
(*) Trabalho externo refere-se a atividade desenvolvida na rua ou visitando clientes.,,,
,,,
Os empregos internos à RMSP foram processadas com a seguinte condição:,,,
zona de trabalho i >=1 e zona de trabalho i <= 527; i = 1 e 2 ,,,
