Tabela 10,,,
Matrículas Escolares por Tipo de Estabelecimento e Zona de Escola – 2023,,,
Região Metropolitana de São Paulo,,,
Pesquisa Origem e Destino 2023,,,
Companhia do Metropolitano de São Paulo ,,,
,,,
Zona de ,Matrículas Escolares por Tipo de Escola,,
Escola,Pública,Particular,Total
,,,
427," 1,501 "," 2,546 "," 4,047 "
428," 1,568 "," 5,617 "," 7,186 "
429," 15,499 "," 28,364 "," 43,862 "
430, 743 ," 2,094 "," 2,837 "
431," 3,394 "," 10,302 "," 13,696 "
432," 3,282 ", -   ," 3,282 "
433," 1,267 "," 3,358 "," 4,626 "
434," 9,449 ", 959 ," 10,408 "
435," 9,026 "," 4,541 "," 13,566 "
436," 8,202 ", 269 ," 8,470 "
437," 4,830 "," 1,993 "," 6,823 "
438," 8,721 "," 3,791 "," 12,511 "
439," 9,979 "," 2,274 "," 12,253 "
440," 14,520 "," 1,958 "," 16,479 "
441, 200 , -   , 200 
442," 6,744 ", 952 ," 7,697 "
443," 26,485 "," 11,047 "," 37,532 "
444," 19,417 "," 1,184 "," 20,600 "
445," 12,308 ", 672 ," 12,980 "
446, -   , 512 , 512 
447," 17,920 "," 4,488 "," 22,408 "
448," 2,671 ", 48 ," 2,719 "
449," 1,258 ", 139 ," 1,397 "
450," 2,190 ", -   ," 2,190 "
451," 7,517 ", 378 ," 7,895 "
452," 17,873 "," 13,689 "," 31,563 "
453," 10,444 "," 4,785 "," 15,229 "
454," 5,228 "," 14,509 "," 19,737 "
455," 14,355 "," 18,880 "," 33,236 "
456," 18,727 "," 11,851 "," 30,578 "
457," 24,537 "," 1,082 "," 25,619 "
458," 17,944 "," 6,870 "," 24,814 "
459," 5,270 ", -   ," 5,270 "
460," 2,471 ", 617 ," 3,088 "
461, - , - , -   
462," 22,613 "," 5,103 "," 27,716 "
463," 21,874 "," 10,910 "," 32,784 "
464," 14,411 "," 1,943 "," 16,354 "
465," 16,589 "," 1,050 "," 17,639 "
466," 17,244 ", 532 ," 17,776 "
467," 8,882 "," 3,258 "," 12,140 "
468," 8,448 "," 20,707 "," 29,155 "
469," 10,115 ", 929 ," 11,044 "
470," 16,044 "," 2,845 "," 18,889 "
471," 12,088 ", -   ," 12,088 "
472," 8,152 ", 812 ," 8,964 "
473," 25,490 "," 5,563 "," 31,054 "
474," 12,624 ", 542 ," 13,166 "
475," 1,198 "," 2,257 "," 3,455 "
476," 26,885 "," 7,325 "," 34,210 "
477, 918 , -   , 918 
478," 2,195 ", -   ," 2,195 "
479," 3,302 ", 300 ," 3,602 "
480," 6,386 ", 800 ," 7,186 "
481," 4,135 ", -   ," 4,135 "
482, 953 , -   , 953 
483," 5,379 ", 502 ," 5,881 "
484, - , - , -   
485, - , - , -   
486," 30,279 "," 1,880 "," 32,158 "
487," 11,491 "," 9,855 "," 21,345 "
488, 618 ," 1,428 "," 2,047 "
489, 430 , -   , 430 
490," 13,778 ", -   ," 13,778 "
491," 16,577 "," 1,139 "," 17,715 "
492," 10,940 ", -   ," 10,940 "
493," 1,711 "," 1,012 "," 2,723 "
494," 22,102 "," 1,208 "," 23,310 "
495," 23,899 "," 7,825 "," 31,724 "
496," 12,084 ", 721 ," 12,806 "
497," 7,176 ", 434 ," 7,610 "
498," 6,124 ", 848 ," 6,972 "
499," 3,983 "," 9,466 "," 13,448 "
500," 5,920 "," 12,626 "," 18,546 "
501," 3,791 "," 3,469 "," 7,260 "
502," 7,313 "," 9,307 "," 16,620 "
503," 4,648 "," 1,158 "," 5,806 "
504," 17,203 ", 742 ," 17,945 "
505," 13,978 "," 5,271 "," 19,249 "
506," 16,064 "," 2,128 "," 18,192 "
507, 710 , -   , 710 
508," 4,222 ", 88 ," 4,310 "
509," 20,864 "," 2,588 "," 23,453 "
510," 9,159 ", 862 ," 10,022 "
511," 5,811 "," 1,149 "," 6,960 "
512," 2,855 ", -   ," 2,855 "
513," 2,080 ", -   ," 2,080 "
514," 13,623 "," 2,514 "," 16,138 "
515, 32 , -   , 32 
516," 2,105 "," 9,991 "," 12,097 "
517," 2,539 "," 2,191 "," 4,730 "
518," 31,195 "," 9,591 "," 40,787 "
519, 737 , 83 , 820 
520, - , - , -   
521," 7,828 ", -   ," 7,828 "
522," 8,706 "," 1,005 "," 9,711 "
523, -   , 242 , 242 
524," 21,304 "," 4,755 "," 26,060 "
525," 30,393 "," 1,775 "," 32,169 "
526," 23,696 "," 17,998 "," 41,694 "
527," 4,165 ", -   ," 4,165 "
,,,
Total RMSP,"3,440,820","1,688,535","5,129,354"
,,,
Fonte:  Metrô/SP - Pesquisa Origem e Destino 2023,,,
,,,
Nota:,,,
,,,
As matrículas escolares internas à RMSP foram processadas com a seguinte condição:,,,
zona de escola >=1 e zona de escola <= 527;,,,
