Tabela 5,,,,,,
População por Faixa de Renda Familiar Mensal e Zona de Residência – 2023,,,,,,
Região Metropolitana de São Paulo,,,,,,
Pesquisa Origem e Destino 2023,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,
,,,,,,
 Zona de ,      Faixa de Renda (*),,,,,
 Residência ,até 2.640,2.640 a 5.280,5.280 a 10.560,10.560 a 15.840,mais de 15.840,Total
,,,,,,
 268 , 300 ," 2,049 "," 4,148 "," 1,470 "," 4,935 "," 12,903 "
 269 , 384 ," 1,051 "," 4,808 "," 3,627 "," 19,483 "," 29,352 "
 270 , 63 ," 1,790 "," 4,158 "," 1,837 "," 1,638 "," 9,486 "
 271 , - , - , - , - , - , -   
 272 , 433 ," 2,016 "," 11,481 "," 4,969 "," 2,184 "," 21,083 "
 273 ," 2,049 "," 22,162 "," 20,452 "," 10,228 "," 6,974 "," 61,865 "
 274 ," 2,716 "," 12,389 "," 11,398 "," 5,307 ", -   ," 31,810 "
 275 ," 4,947 "," 6,879 "," 15,834 "," 5,458 "," 5,333 "," 38,452 "
 276 ," 14,327 "," 32,062 "," 31,338 "," 9,119 "," 1,335 "," 88,181 "
 277 ," 6,937 "," 18,988 "," 16,590 "," 9,875 "," 5,239 "," 57,629 "
 278 ," 35,162 "," 52,514 "," 30,973 "," 4,063 ", 234 ," 122,947 "
 279 ," 13,007 "," 35,975 "," 25,851 ", -   , -   ," 74,833 "
 280 ," 1,521 "," 6,992 "," 8,349 "," 4,501 "," 4,200 "," 25,563 "
 281 , 583 ," 2,765 "," 16,760 "," 12,762 "," 6,775 "," 39,645 "
 282 ," 4,557 "," 6,698 "," 14,655 "," 8,072 "," 2,253 "," 36,235 "
 283 , 314 , 851 ," 6,365 "," 5,737 "," 4,095 "," 17,362 "
 284 ," 19,330 "," 16,614 "," 14,819 "," 1,690 ", -   ," 52,453 "
 285 ," 23,168 "," 59,403 "," 31,533 "," 1,095 ", -   ," 115,198 "
 286 ," 1,313 "," 2,781 "," 5,907 ", 808 , 702 ," 11,511 "
 287 ," 1,236 "," 4,953 "," 10,135 "," 8,647 "," 2,515 "," 27,485 "
 288 ," 2,584 "," 8,734 "," 4,214 ", 511 ," 2,218 "," 18,261 "
 289 ," 6,864 "," 18,233 "," 14,792 "," 2,299 "," 2,658 "," 44,846 "
 290 ," 2,622 "," 17,953 "," 28,831 "," 3,473 ", -   ," 52,880 "
 291 ," 12,221 "," 33,065 "," 21,855 "," 3,865 ", -   ," 71,006 "
 292 ," 13,956 "," 27,526 "," 17,008 "," 4,577 "," 2,012 "," 65,079 "
 293 ," 20,139 "," 29,740 "," 24,849 "," 1,247 ", 928 ," 76,903 "
 294 ," 30,442 "," 36,881 "," 33,574 ", 874 , -   ," 101,771 "
 295 ," 35,439 "," 52,167 "," 38,180 ", -   ," 3,555 "," 129,341 "
 296 ," 8,860 "," 9,249 "," 2,939 ", 294 , -   ," 21,341 "
 297 , 530 ," 2,662 "," 1,810 "," 1,241 ", 78 ," 6,321 "
 298 ," 26,576 "," 68,228 "," 49,285 "," 7,104 ", -   ," 151,193 "
 299 ," 3,095 "," 3,953 "," 4,679 ", -   , -   ," 11,727 "
 300 , - , - , - , - , - , -   
 301 ," 1,145 "," 4,030 "," 16,604 "," 11,896 "," 8,011 "," 41,686 "
 302 , 354 , 775 ," 2,577 "," 3,134 "," 5,710 "," 12,550 "
 303 , 920 ," 2,920 "," 7,038 "," 2,390 "," 5,739 "," 19,007 "
