Tabela 23a,,,,,,,,,,,,
Viagens Diárias Atraídas por Motivo no Destino e Zona de Destino – 2023,,,,,,,,,,,,
Região Metropolitana de São Paulo,,,,,,,,,,,,
Pesquisa Origem e Destino 2023,,,,,,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,,,,,,
,,,,,,,,,,,,
Zona de Destino,Viagens Atraídas por Motivo no Destino,,,,,,,,,,,Total
,Trabalho,Trabalho,Trabalho,,,,,,Procurar ,Assuntos, ,
,Indústria,Comércio,Serviços,Educação,Compras,Saúde,Lazer,Residência,Emprego,Pessoais,Refeição,
,,,,,,,,,,,,
131," 2,586 ", 577 ," 5,366 "," 1,979 ", 424 , 391 ," 1,949 "," 1,240 ", -   ," 3,180 ", -   ," 17,691 "
132, 677 , 461 ," 4,836 ", 721 , -   ," 1,290 "," 1,277 ", -   , 531 , 526 ," 1,003 "," 11,323 "
133, 367 ," 4,256 "," 14,465 "," 17,968 ", 966 ," 4,804 "," 1,833 "," 28,546 ", -   , 900 , 615 ," 74,719 "
134, 873 ," 2,032 "," 14,301 "," 13,329 ", 828 ," 2,473 ", -   ," 29,297 ", -   , 992 , 322 ," 64,448 "
135, 487 ," 1,858 "," 12,336 "," 13,735 ", 433 ," 4,065 "," 2,185 "," 33,905 ", -   , 944 , 86 ," 70,034 "
136," 6,524 "," 1,971 "," 13,394 "," 9,232 "," 2,626 ", 566 ," 1,071 "," 30,895 ", 56 ," 1,890 "," 1,131 "," 69,358 "
137, 548 ," 1,870 "," 10,743 "," 13,534 ", 686 ," 1,420 ", 16 ," 39,377 ", -   ," 1,351 ", 853 ," 70,398 "
138," 4,532 "," 4,274 "," 7,078 "," 4,432 "," 2,628 ", -   , 228 ," 10,758 ", -   , 297 , -   ," 34,228 "
139," 1,157 "," 1,096 "," 4,321 "," 10,133 ", 471 ," 2,527 "," 2,092 "," 28,910 ", -   , 25 , -   ," 50,732 "
140, 684 ," 1,924 "," 6,486 "," 9,841 "," 1,493 "," 1,104 "," 1,105 "," 33,729 ", -   ," 1,395 ", -   ," 57,761 "
141," 2,958 "," 7,247 "," 26,254 "," 21,716 ", 961 ," 5,130 "," 1,208 "," 82,676 ", -   ," 4,844 ", -   ," 152,993 "
142," 3,412 "," 2,073 "," 6,215 "," 5,903 "," 1,421 ", 835 , 197 ," 50,631 ", -   , 74 , -   ," 70,760 "
143, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   
144, 792 ," 7,934 "," 17,729 "," 29,894 "," 11,583 "," 3,489 "," 3,583 "," 97,852 ", -   ," 4,060 ", 655 ," 177,571 "
145, -   , 319 ," 1,077 "," 5,046 ", -   , -   , 703 ," 6,090 ", -   , 47 , 76 ," 13,356 "
146, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   
147," 2,578 "," 2,066 "," 5,220 "," 5,829 ", 210 , 245 , 317 ," 28,490 ", -   , 268 , -   ," 45,223 "
148, 746 , 583 ," 6,413 "," 4,951 ", 89 ," 1,975 ", -   ," 19,759 ", -   ," 2,059 ", -   ," 36,573 "
149, -   , -   , -   , -   , -   , -   , 280 , -   , -   , -   , -   , 280 
150," 2,185 ", 616 ," 4,944 "," 9,008 ", 114 , 864 ," 1,833 "," 40,234 ", -   , 34 , 616 ," 60,448 "
151," 2,469 "," 1,674 "," 16,644 "," 6,696 "," 1,038 ", -   ," 4,076 "," 65,936 ", -   , 674 , 169 ," 99,376 "
152, 840 ," 4,563 "," 5,216 "," 7,811 "," 3,076 "," 1,044 "," 2,066 "," 33,497 ", 604 ," 2,109 ", -   ," 60,827 "
153, 812 , 630 ," 5,275 "," 2,602 "," 1,711 ", 891 ," 1,487 "," 16,841 ", -   , 217 , -   ," 30,466 "
154," 1,386 "," 3,452 "," 19,710 "," 27,056 "," 2,343 ", 921 ," 4,289 "," 35,623 ", -   ," 5,903 ", 690 ," 101,373 "
155, 945 , -   ," 4,202 "," 3,830 ", -   , -   , -   ," 26,280 ", -   , -   , 584 ," 35,841 "
156," 2,259 "," 4,789 "," 6,362 "," 21,054 "," 5,070 ", 407 , 976 ," 45,009 ", -   ," 1,437 ", 295 ," 87,656 "
157," 1,045 ", -   , 513 ," 4,775 ", 209 , -   , 235 ," 13,972 ", -   , 149 , -   ," 20,898 "
158, 97 ," 2,710 "," 5,415 "," 12,881 ", 435 , 106 , 473 ," 35,261 ", -   , 590 , 21 ," 57,988 "
159," 3,322 "," 3,577 "," 13,838 "," 16,797 "," 1,255 ", 908 ," 1,055 "," 58,960 ", -   ," 2,346 ", -   ," 102,057 "
160," 1,212 "," 1,676 "," 11,737 "," 9,236 ", 501 ," 1,476 ", 364 ," 40,876 ", -   , 341 , -   ," 67,419 "
161," 6,148 "," 6,571 "," 20,226 "," 7,239 "," 1,007 "," 4,880 ", 445 ," 43,333 ", 8 ," 1,564 ", 60 ," 91,480 "
162," 4,246 "," 6,290 "," 11,907 "," 8,537 ", 851 , -   , 604 ," 11,379 ", 224 , 234 , -   ," 44,272 "
163," 2,368 "," 4,896 "," 12,578 "," 13,655 "," 2,403 "," 3,082 "," 1,285 "," 34,759 ", -   ," 1,198 ", 631 ," 76,855 "
164," 4,113 "," 2,182 "," 8,308 "," 1,001 ", 400 ," 1,202 ", 105 ," 3,986 ", -   , -   , 216 ," 21,514 "
165," 1,686 "," 3,749 "," 5,168 "," 3,358 "," 1,627 ", 92 ," 2,017 "," 2,621 ", -   , -   , -   ," 20,317 "
166," 1,763 "," 6,700 "," 30,023 "," 17,165 "," 2,822 "," 8,336 "," 5,667 "," 31,337 ", -   ," 1,627 "," 1,988 "," 107,429 "
