Tabela 22,,,,,
Viagens Diárias Atraídas por Tipo e Zona de Destino – 2023,,,,,
Região Metropolitana de São Paulo,,,,,
Pesquisa Origem e Destino 2023,,,,,
Companhia do Metropolitano de São Paulo ,,,,,
,,,,,
, Viagens Atraidas por Tipo ,,,,
 Zona de , Coletivo , Individual ,Modo Motorizado,Modo, Total 
 Destino ,(A),(B),(A+B),Não Motorizado (C),(A+B+C)
,,,,,
296," 3,325 "," 2,100 "," 5,424 "," 2,635 "," 8,059 "
297," 3,582 "," 3,610 "," 7,191 ", 284 ," 7,475 "
298," 99,804 "," 30,638 "," 130,442 "," 76,956 "," 207,398 "
299," 5,853 "," 2,175 "," 8,028 ", 859 ," 8,887 "
300, 102 , 10 , 112 , -   , 112 
301," 85,637 "," 70,326 "," 155,963 "," 18,707 "," 174,670 "
302," 23,487 "," 22,990 "," 46,476 "," 3,687 "," 50,164 "
303," 44,117 "," 28,178 "," 72,294 "," 6,830 "," 79,124 "
304," 29,939 "," 19,522 "," 49,461 "," 4,218 "," 53,679 "
305," 59,469 "," 33,124 "," 92,593 "," 33,990 "," 126,583 "
306," 63,626 "," 36,609 "," 100,235 "," 65,428 "," 165,663 "
307," 41,348 "," 19,531 "," 60,879 "," 18,734 "," 79,613 "
308," 58,832 "," 21,508 "," 80,340 "," 53,239 "," 133,579 "
309," 25,310 "," 10,767 "," 36,077 "," 31,476 "," 67,553 "
310," 32,945 "," 6,906 "," 39,852 "," 27,539 "," 67,391 "
311," 9,973 "," 3,687 "," 13,660 "," 19,007 "," 32,667 "
312," 48,693 "," 24,476 "," 73,169 "," 45,007 "," 118,176 "
313," 30,049 "," 27,662 "," 57,710 "," 25,822 "," 83,532 "
314," 16,816 "," 7,799 "," 24,615 "," 10,694 "," 35,309 "
315," 44,787 "," 31,212 "," 75,999 "," 43,545 "," 119,543 "
316," 54,591 "," 25,631 "," 80,222 "," 56,377 "," 136,600 "
317," 14,064 "," 22,093 "," 36,157 "," 4,898 "," 41,055 "
318," 3,708 "," 11,699 "," 15,407 ", 638 ," 16,045 "
319," 14,709 "," 24,399 "," 39,109 "," 5,032 "," 44,140 "
