 Tabela 8 ,,,,,,,,,,
 População que Trabalha por Vínculo Empregatício do Primeiro Trabalho e Zona de Residência – 2023 ,,,,,,,,,,
 Região Metropolitana de São Paulo ,,,,   ,,,,,,
 Pesquisa Origem e Destino 2023 ,,,,,,,,,,
 Companhia do Metropolitano de São Paulo  ,,,,,,,,,,
,,,,,,,,,,
, População que trabalha por Vínculo Empregatício do Primeiro Emprego ,,,,,,,,, Total 
 Zona de , Assalariado  , Assalariado  , Funcionário , Profissional , Autônomo , Autônomo ,, Dono de  , Trabalhador ,
 Residência , com Carteira , sem Carteira , Público , Liberal , com CNPJ , sem CNPJ , Empregador , Negócio Familiar , Familiar ,
,,,,,,,,,,
 226 ,"23,173","2,559","2,077","1,561","2,186","5,221",484,0,0,"37,262"
 227 ,"16,294","3,140","1,977",0,"3,153","3,596",0,0,0,"28,160"
 228 ,"13,396",973,294,0,"3,473","8,369",0,0,0,"26,505"
 229 ,"42,367","5,045","1,289",0,"2,957","14,571",0,457,0,"66,686"
 230 ,"12,085","1,339",688,0,"1,733","8,053",0,837,0,"24,736"
 231 ,"12,497","1,886",217,0,"3,983","5,368",0,0,0,"23,952"
 232 ,"10,231","1,685",441,0,"1,973","6,812",0,0,441,"21,583"
 233 ,"16,888","2,614",497,0,"1,767","5,046",0,0,0,"26,812"
 234 ,"14,477","3,578",0,0,"3,762","9,934",0,0,0,"31,750"
 235 ,"16,112","2,299",0,236,"3,792","8,098",0,165,0,"30,703"
 236 ,"3,798",0,401,212,972,"1,234",0,0,0,"6,617"
 237 ,"3,503",213,174,894,558,582,99,210,0,"6,232"
 238 ,"4,538",95,111,331,"1,671","1,641",0,166,0,"8,553"
 239 ,"2,759",289,509,582,"1,831","1,827",170,0,159,"8,125"
 240 ,"5,240",137,376,787,"1,785","1,411",75,0,0,"9,811"
 241 ,"2,815",879,206,663,599,"1,227",49,60,32,"6,529"
 242 ,"6,903",924,97,375,"1,141","4,352",0,"2,086",958,"16,835"
 243 ,"16,552","1,748",536,722,"3,185","2,710",0,0,0,"25,453"
 244 ,"29,437","1,935",631,649,"1,948","4,426",618,0,0,"39,644"
 245 ,"5,603",716,516,0,"1,863","1,068",0,873,0,"10,639"
 246 ,"9,969",367,220,"1,386","2,491","2,095",0,87,355,"16,970"
 247 ,"28,694",0,0,0,0,"6,436",467,0,0,"35,597"
 248 ,,,,,,,,,,
 249 ,"11,213",0,476,0,459,"4,522",491,0,0,"17,161"
 250 ,"4,009",0,0,560,"4,269","2,551",116,0,78,"11,584"
 251 ,"4,772",395,"1,933",420,"1,236","1,313",0,862,0,"10,930"
 252 ,"4,805",222,522,142,"2,824","2,823",479,88,0,"11,904"
 253 ,"1,519",220,20,0,24,579,0,108,14,"2,485"
 254 ,"9,529",418,857,135,"5,841","1,728",314,126,142,"19,088"
 255 ,"12,618","1,047","2,790",979,"1,196","5,476","2,476",0,0,"26,582"
 256 ,"6,013",306,"1,055",0,"2,676","3,348",111,194,151,"13,855"
 257 ,"15,104",551,283,0,"4,399","4,639",283,0,0,"25,258"
 258 ,"15,860",0,0,0,"5,035","16,785",0,"1,045",0,"38,725"
